Reference area,MEASURE,Domain,UNIT_MEASURE,Unit of measure,Measure,Abbreviations,Age,Sex,Education level,OBS_VALUE,TIME_PERIOD,
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,60.28981469,2010,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,7.225313187,2010,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,52.100323,2010,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2010,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.303845459,2010,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,77.35437322,2010,Employment rate_Age:Total_Sex:Male_Education:Total
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,25.29112118,2010,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,41685,2010,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,81,2010,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,22.37546663,2010,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,32.29759932,2010,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Young,Total,Total,68.126899,2010,Feeling safe at night_Age:Young_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2010,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,67.935326,2010,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2010,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,10.76264284,2010,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,2.414745157,2010,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2010,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,71.79560359,2010,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,3,2010,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2010,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2010,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,81.12599966,2010,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,35.742,2010,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST,Percentage of previous earnings lost,Labour market insecurity,,Total,Total,Total,6.621606827,2010,Labour market insecurity_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,23.91410446,2010,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,3.197727244,2010,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2010,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,7.361683401,2010,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2010,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2010,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2010,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,96,2010,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,75.4,2010,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2010,Social support_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Young,Total,Total,12.02807617,2010,Labour market insecurity_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,66.41473034,2010,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Secondary education,5.250362873,2010,Labour market insecurity_Age:Total_Sex:Total_Education:Secondary education
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,68.24,2010,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2010,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,75.09098745,2010,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5.011331445,2010,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Female,Total,6.020016193,2010,Labour market insecurity_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Female,Total,14.63929862,2010,Negative affect balance_Age:Total_Sex:Female_Education:Total
United States,2_3,Work and job quality,PT_LF,Percentage of labour force,Long-term unemployment rate,,Total,Total,Total,2.831225302,2010,Long-term unemployment rate_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Male,Total,84.73367691,2010,Feeling safe at night_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as positive,,Total,Total,Total,87.6,2010,Perceived health as positive_Age:Total_Sex:Total_Education:Total
United States,1_3_VER,Income and wealth,PT_B90_S14,Percentage of household wealth,Top wealthiest households decile,,Total,Total,Total,76.609879,2010,Top wealthiest households decile_Age:Total_Sex:Total_Education:Total
United States,1_3,Income and wealth,USD_HH_PPP,"US dollars per household, PPP converted",Median net wealth,,Total,Total,Total,73278,2010,Median net wealth_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Social support,,Total,Total,Total,92.33439301,2010,Social support_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Young,Total,Total,94.40615773,2010,Social support_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Young,Total,Total,45.00105407,2010,Employment rate_Age:Young_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Total,76.2,2010,Life expectancy at birth_Age:Total_Sex:Male_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Female,Total,15.52262,2010,"Youth not in employment, education or training_Age:Total_Sex:Female_Education:Total"
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Old,Total,Total,7.525263384,2010,Long hours in paid work_Age:Old_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Secondary education,72.07787037,2010,Feeling safe at night_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Middle-aged,Total,Total,2.708813608,2010,Long-term unemployment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Male,Total,15.0992126,2010,Long hours in paid work_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Middle-aged,Total,Total,88.25,2010,Perceived health as positive_Age:Middle-aged_Sex:Total_Education:Total
United States,2_2,Work and job quality,PT_WG_SAL_M_MEDIAN,Percentage of the median wages of men,Gender wage gap,,Total,Total,Total,18.81067961,2010,Gender wage gap_Age:Total_Sex:Total_Education:Total
United States,10_3,Safety,DT,Deaths,Road deaths,,Total,Total,Total,10.66818255,2010,Road deaths_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Old,Total,Total,2.807262366,2011,Long-term unemployment rate_Age:Old_Sex:Total_Education:Total
United States,2_4,Work and job quality,PT_POP_Y15T24_SUB,Percentage of population aged 15-24 years in the same subgroup,"Youth not in employment, education or training",,Total,Male,Total,14.338637,2011,"Youth not in employment, education or training_Age:Total_Sex:Male_Education:Total"
United States,10_2,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Feeling safe at night,,Total,Total,Total,74.72052045,2011,Feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Female,Total,86.6,2011,Perceived health as positive_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Tertiary education,2.700103521,2011,Labour market insecurity_Age:Total_Sex:Total_Education:Tertiary education
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Female,Total,13.77043533,2011,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Female_Education:Total"
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Tertiary education,79.954567,2011,Employment rate_Age:Total_Sex:Total_Education:Tertiary education
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Total,Female,Total,6.392444841,2011,Long hours in paid work_Age:Total_Sex:Female_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Negative affect balance,,Total,Total,Total,14.36464853,2011,Negative affect balance_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Total,Total,5.1,2011,Homicides_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Male,Total,88.1,2011,Perceived health as positive_Age:Total_Sex:Male_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Secondary education,83.6,2011,Perceived health as positive_Age:Total_Sex:Total_Education:Secondary education
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Young,Total,Total,3.37497615,2011,Long-term unemployment rate_Age:Young_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Male,Total,35.93214035,2011,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Male_Education:Total"
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Total,Total,78.7,2011,Life expectancy at birth_Age:Total_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Middle-aged,Total,Total,12.35617572,2011,Long hours in paid work_Age:Middle-aged_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Male,Total,7.9,2011,Homicides_Age:Total_Sex:Male_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Old,Total,Total,3.674287081,2011,Labour market insecurity_Age:Old_Sex:Total_Education:Total
United States,3_1,Housing,PT_HH,Percentage of households,Households living in overcrowded conditions,,Total,Total,Total,3.757856786,2011,Households living in overcrowded conditions_Age:Total_Sex:Total_Education:Total
United States,3_4,Housing,PT_HH,Percentage of households,Poor households without access to basic sanitary facilities,,Total,Total,Total,0.761175947,2011,Poor households without access to basic sanitary facilities_Age:Total_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Primary education,73.1,2011,Perceived health as positive_Age:Total_Sex:Total_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Secondary education,13.91852796,2011,Negative affect balance_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Young,Total,Total,12.30201572,2011,Negative affect balance_Age:Young_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Female,Total,64.20485973,2011,Feeling safe at night_Age:Total_Sex:Female_Education:Total
United States,2_8,Work and job quality,USD_PPP,"US dollars, PPP converted",Average annual gross earnings,,Total,Total,Total,63349,2011,Average annual gross earnings_Age:Total_Sex:Total_Education:Total
United States,10_1,Safety,DT,Deaths,Homicides,,Total,Female,Total,2.2,2011,Homicides_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Old,Total,Total,91.25460386,2011,Social support_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Primary education,11.99787617,2011,Labour market insecurity_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Total,Total,Tertiary education,91.8,2011,Perceived health as positive_Age:Total_Sex:Total_Education:Tertiary education
United States,2_4,Work and job quality,PT_POP_Y15T24,Percentage of population aged 15-24 years,"Youth not in employment, education or training",,Total,Total,Total,14.841232,2011,"Youth not in employment, education or training_Age:Total_Sex:Total_Education:Total"
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Old,Total,Total,11.9647935,2011,Negative affect balance_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Middle-aged,Total,Total,4.986959934,2011,Labour market insecurity_Age:Middle-aged_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Old,Total,Total,59.9805337,2011,Employment rate_Age:Old_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Male,Total,6.920833111,2011,Labour market insecurity_Age:Total_Sex:Male_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Primary education,51.101292,2011,Employment rate_Age:Total_Sex:Total_Education:Primary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Middle-aged,Total,Total,78.16249132,2011,Feeling safe at night_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL_SUB,Percentage of employees in the same subgroup,Long hours in paid work,,Young,Total,Total,3.617096851,2011,Long hours in paid work_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Male,Total,77.59478211,2011,Employment rate_Age:Total_Sex:Male_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Tertiary education,56.18284,2011,Life expectancy at birth_Age:Total_Sex:Male_Education:Tertiary education
United States,2_8_DEP,Work and job quality,PT_SAL_FT,Percentage of full-time employees,Full-time employees earning less than two-thirds of gross median earnings,,Total,Total,Total,25.14782297,2011,Full-time employees earning less than two-thirds of gross median earnings_Age:Total_Sex:Total_Education:Total
United States,1_1,Income and wealth,USD_PPP_PS,"US dollars per person, PPP converted",Households and NPISHs net adjusted disposable income per capita,,Total,Total,Total,42137,2011,Households and NPISHs net adjusted disposable income per capita_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Total,81.1,2011,Life expectancy at birth_Age:Total_Sex:Female_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Secondary education,57.66304,2011,Life expectancy at birth_Age:Total_Sex:Female_Education:Secondary education
United States,10_2_DEP,Safety,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Not feeling safe at night,,Total,Total,Total,23.93858785,2011,Not feeling safe at night_Age:Total_Sex:Total_Education:Total
United States,3_3,Housing,PT_HH,Percentage of households,Housing cost overburden,,Total,Total,Total,32.8993082,2011,Housing cost overburden_Age:Total_Sex:Total_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Secondary education,89.96618986,2011,Social support_Age:Total_Sex:Total_Education:Secondary education
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Total,Secondary education,67.125801,2011,Employment rate_Age:Total_Sex:Total_Education:Secondary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Middle-aged,Total,Total,16.03616476,2011,Negative affect balance_Age:Middle-aged_Sex:Total_Education:Total
United States,2_7,Work and job quality,PT_SAL,Percentage of employees,Long hours in paid work,,Total,Total,Total,11.02523319,2011,Long hours in paid work_Age:Total_Sex:Total_Education:Total
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Female,Total,2.584849658,2011,Long-term unemployment rate_Age:Total_Sex:Female_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Total,Tertiary education,95.31903863,2011,Social support_Age:Total_Sex:Total_Education:Tertiary education
United States,2_1,Work and job quality,PT_POP_Y25T64,Percentage of population aged 25-64 years,Employment rate,,Total,Total,Total,71.65351409,2011,Employment rate_Age:Total_Sex:Total_Education:Total
United States,5_2_DEP,Health,PT_POP_Y_GE16,Percentage of population aged 16 years or over,Perceived health as negative,,Total,Total,Total,2.9,2011,Perceived health as negative_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Primary education,46.20422,2011,Life expectancy at birth_Age:Total_Sex:Male_Education:Primary education
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Tertiary education,10.83170325,2011,Negative affect balance_Age:Total_Sex:Total_Education:Tertiary education
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Total,Total,Tertiary education,79.9924314,2011,Feeling safe at night_Age:Total_Sex:Total_Education:Tertiary education
United States,3_2,Housing,PT_B6G_S14,Percentage of household gross disposable income,Housing affordability,,Total,Total,Total,81.52557718,2011,Housing affordability_Age:Total_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Female,Primary education,51.48044,2011,Life expectancy at birth_Age:Total_Sex:Female_Education:Primary education
United States,9_2,Environmental quality,PT_POP,Percentage of population,Exposed to air pollution,,Total,Total,Total,37.154,2011,Exposed to air pollution_Age:Total_Sex:Total_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST,Percentage of previous earnings lost,Labour market insecurity,,Total,Total,Total,6.564193249,2011,Labour market insecurity_Age:Total_Sex:Total_Education:Total
United States,5_3,Health,DT,Deaths,"Deaths from suicide, alcohol, drugs",,Total,Total,Total,24.67663956,2011,"Deaths from suicide, alcohol, drugs_Age:Total_Sex:Total_Education:Total"
United States,2_3,Work and job quality,PT_LF_SUB,Percentage of labour force in the same subgroup,Long-term unemployment rate,,Total,Male,Total,3.063876035,2011,Long-term unemployment rate_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Male,Total,89.94534016,2011,Social support_Age:Total_Sex:Male_Education:Total
United States,7_1_DEP,Social connections,PT_POP_Y_GE15,Percentage of population aged 15 years or over,Lack of social support,,Total,Total,Total,7.809359357,2011,Lack of social support_Age:Total_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Male,Total,11.95899695,2011,Negative affect balance_Age:Total_Sex:Male_Education:Total
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Middle-aged,Total,Total,88.82194757,2011,Social support_Age:Middle-aged_Sex:Total_Education:Total
United States,11_2,Subjective well-being,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Negative affect balance,,Total,Total,Primary education,22.47057855,2011,Negative affect balance_Age:Total_Sex:Total_Education:Primary education
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Young,Total,Total,95.6,2011,Perceived health as positive_Age:Young_Sex:Total_Education:Total
United States,5_2,Health,PT_POP_Y_GE16_SUB,Percentage of population aged 16 years or over in the same subgroup,Perceived health as positive,,Old,Total,Total,75.2,2011,Perceived health as positive_Age:Old_Sex:Total_Education:Total
United States,5_1,Health,Y,Years,Life expectancy at birth,,Total,Male,Secondary education,52.7782,2011,Life expectancy at birth_Age:Total_Sex:Male_Education:Secondary education
United States,7_1,Social connections,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Social support,,Total,Female,Total,92.4326539,2011,Social support_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Young,Total,Total,11.84890366,2011,Labour market insecurity_Age:Young_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Total,Female,Total,65.91834502,2011,Employment rate_Age:Total_Sex:Female_Education:Total
United States,2_5,Work and job quality,PT_EARN_PRVS_LST_SUB,Percentage of previous earnings lost in the same subgroup,Labour market insecurity,,Total,Total,Secondary education,5.301593781,2011,Labour market insecurity_Age:Total_Sex:Total_Education:Secondary education
United States,3_5,Housing,PT_HH,Percentage of households,Households with internet access at home,,Total,Total,Total,69.43,2011,Households with internet access at home_Age:Total_Sex:Total_Education:Total
United States,10_2,Safety,PT_POP_Y_GE15_SUB,Percentage of population aged 15 years or over in the same subgroup,Feeling safe at night,,Old,Total,Total,74.4807899,2011,Feeling safe at night_Age:Old_Sex:Total_Education:Total
United States,2_1,Work and job quality,PT_POP_Y25T64_SUB,Percentage of population aged 25-64 years in the same subgroup,Employment rate,,Middle-aged,Total,Total,75.11567299,2011,Employment rate_Age:Middle-aged_Sex:Total_Education:Total
United States,2_8_VER,Work and job quality,FCTR_D1_EARN,Factor of lowest earnings decile,Top earnings of full-time employees decile,,Total,Total,Total,5.033519553,2011,Top earnings of full-time employees decile_Age:Total_Sex:Total_Education:Total
